,VESSEL_UID,LATITUDE,LONGITUDE,TIME
375,6617829,-26.74413,311.4591,2013-01-20 10:00:00
376,6617829,-26.74625,311.44737,2013-01-20 11:00:00
377,6617829,-26.7629,311.33848,2013-01-20 13:00:00
378,6617829,-26.75545,311.36353,2013-01-20 14:00:00
379,6617829,-26.74343,311.4557,2013-01-20 15:00:00
380,6617829,-26.74982,311.43607,2013-01-20 16:00:00
381,6617829,-26.76277,311.33763,2013-01-20 17:00:00
382,6617829,-26.74845,311.39013,2013-01-20 18:00:00
383,6617829,-26.73857,311.35597,2013-01-20 20:00:00
384,6617829,-26.7384,311.35602,2013-01-20 21:00:00
385,6617829,-26.73845,311.35593,2013-01-20 22:00:00
386,6617829,-26.74478,311.45252,2013-01-20 23:00:00
387,6617829,-26.75262,311.45873,2013-01-21 00:00:00
388,6617829,-26.7627,311.33835,2013-01-21 02:00:00
389,6617829,-26.75575,311.363,2013-01-21 03:00:00
390,6617829,-26.76352,311.33962,2013-01-21 06:00:00
391,6617829,-26.76347,311.34005,2013-01-21 10:00:00
392,6617829,-26.74255,311.45082,2013-01-21 11:00:00
393,6617829,-26.74645,311.46125,2013-01-21 12:00:00
394,6617829,-26.7628,311.33753,2013-01-21 14:00:00
395,6617829,-26.74932,311.39295,2013-01-21 15:00:00
396,6617829,-26.7457,311.4583,2013-01-21 16:00:00
397,6617829,-26.7474,311.41665,2013-01-21 17:00:00
398,6617829,-26.76283,311.33747,2013-01-21 19:00:00
399,6617829,-26.7556,311.36408,2013-01-21 20:00:00
400,6617829,-26.7424,311.45385,2013-01-21 21:00:00
401,6617829,-26.74545,311.43922,2013-01-21 22:00:00
402,6617829,-26.76283,311.33813,2013-01-22 00:00:00
403,6617829,-26.74193,311.45477,2013-01-22 01:00:00
404,6617829,-26.74368,311.46512,2013-01-22 02:00:00
405,6617829,-26.75403,311.37105,2013-01-22 03:00:00
406,6617829,-26.75592,311.36145,2013-01-22 04:00:00
407,6617829,-26.74112,311.45582,2013-01-22 05:00:00
408,6617829,-26.74898,311.46928,2013-01-22 07:00:00
409,6617829,-26.76203,311.34067,2013-01-22 08:00:00
410,6617829,-26.76297,311.33855,2013-01-22 09:00:00
411,6617829,-26.74293,311.4498,2013-01-22 10:00:00
412,6617829,-26.74893,311.46348,2013-01-22 11:00:00
413,6617829,-26.75338,311.37535,2013-01-22 12:00:00
414,6617829,-26.76313,311.33762,2013-01-22 13:00:00
415,6617829,-26.74167,311.45213,2013-01-22 14:00:00
416,6617829,-26.74342,311.46675,2013-01-22 16:00:00
417,6617829,-26.75367,311.37033,2013-01-22 17:00:00
418,6617829,-26.76335,311.33812,2013-01-22 18:00:00
419,6617829,-26.74242,311.45563,2013-01-22 19:00:00
420,6617829,-26.7439,311.4618,2013-01-22 20:00:00
421,6617829,-26.76167,311.3407,2013-01-22 21:00:00
422,6617829,-26.76303,311.33808,2013-01-22 22:00:00
423,6617829,-26.74363,311.45222,2013-01-22 23:00:00
424,6617829,-26.75,311.46303,2013-01-23 00:00:00
425,6617829,-26.75707,311.3559,2013-01-23 02:00:00
426,6617829,-26.76332,311.33792,2013-01-23 03:00:00
427,6617829,-26.74635,311.45247,2013-01-23 04:00:00
428,6617829,-26.75552,311.46045,2013-01-23 05:00:00
429,6617829,-26.76085,311.3447,2013-01-23 06:00:00
430,6617829,-26.76373,311.33832,2013-01-23 07:00:00
431,6617829,-26.74037,311.45128,2013-01-23 08:00:00
432,6617829,-26.74302,311.46207,2013-01-23 09:00:00
433,6617829,-26.76078,311.34365,2013-01-23 11:00:00
434,6617829,-26.76263,311.33993,2013-01-23 12:00:00
435,6617829,-26.7419,311.45327,2013-01-23 13:00:00
436,6617829,-26.73945,311.4578,2013-01-23 14:00:00
437,6617829,-26.76307,311.3396,2013-01-23 15:00:00
438,6617829,-26.76365,311.33788,2013-01-23 16:00:00
439,6617829,-26.74308,311.45658,2013-01-23 18:00:00
440,6617829,-26.74188,311.45935,2013-01-23 19:00:00
441,6617829,-26.76292,311.33995,2013-01-23 20:00:00
442,6617829,-26.75605,311.36242,2013-01-23 21:00:00
443,6617829,-26.74408,311.45378,2013-01-23 22:00:00
444,6617829,-26.74277,311.4521,2013-01-23 23:00:00
445,6617829,-26.76377,311.33808,2013-01-24 00:00:00
446,6617829,-26.76372,311.33788,2013-01-24 01:00:00
447,6617829,-26.7639,311.3377,2013-01-24 02:00:00
448,6617829,-26.74938,311.41405,2013-01-24 03:00:00
449,6617829,-26.74952,311.4603,2013-01-24 04:00:00
450,6617829,-26.75395,311.45933,2013-01-24 06:00:00
451,6617829,-26.7623,311.34095,2013-01-24 07:00:00
452,6617829,-26.76332,311.33907,2013-01-24 08:00:00
453,6617829,-26.742,311.45377,2013-01-24 09:00:00
454,6617829,-26.74242,311.45998,2013-01-24 10:00:00
455,6617829,-26.76315,311.33868,2013-01-24 11:00:00
456,6617829,-26.75583,311.3618,2013-01-24 13:00:00
457,6617829,-26.73845,311.45618,2013-01-24 14:00:00
458,6617829,-26.74185,311.4336,2013-01-24 15:00:00
459,6617829,-26.7635,311.3377,2013-01-24 16:00:00
460,6617829,-26.7459,311.42547,2013-01-24 17:00:00
461,6617829,-26.74218,311.46225,2013-01-24 18:00:00
462,6617829,-26.75138,311.40918,2013-01-24 20:00:00
